name,count_station,lenth,count_carriages,passenger
Сокольническая линия,26,41.34,509,1138975976
Замоскворецкая линия,24,42.92,756,1138975977
Арбатско-Покровская линия,22,44.98,479,1138975978
Филёвская линия,13,14.53,162,1138975979
Кольцевая линия,12,19.17,280,1138975980
Калининская линия,8,16.22,248,1138975981
Калужско-Рижская линия,24,37.83,671,1138975982
Таганско-Краснопресненская линия,23,42.04,672,1138975983
Серпуховско-Тимирязевская линия,25,41.31,696,1138975984
Люблинско-Дмитровская линия,23,37.56,708,1138975985
Бутовская линия Лёгкого метро,7,,77,1138975986
Солнцевская линия,12,,296,1138975987
Большая кольцевая линия,21,62.12,776,1138975988
Некрасовская линия,8,,152,1138975989
Московская монорельсовая транспортная система,6,,4,1138975990
Московское центральное кольцо,31,54.0,255,1138975991
